"Antipasteria ""Da Gallo""",Standardgruppe,4 FAVORITEN,Einladung noch nicht angenommen
"Gaststätte "" Zum Schiesshaus""",Freitag,FAVORITEN HINZUFÜGEN,Daten unvollständig
"Restaurant ""Alte Mälzerei""",Dienstag,73 FAVORITEN,Zuletzt bestellt vor 14 Tagen
1.Fußballklub Schnaittach 1920,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
1001 Nacht,Standardgruppe,94 FAVORITEN,Zuletzt bestellt vor 6 Tagen
108 Florentina MG GmbH (108 Flora),Standardgruppe,93 FAVORITEN,Zuletzt bestellt vor einem Jahr
11 Sportsbar Eleven,Standardgruppe,2 FAVORITEN,Daten unvollständig
1A Blumen Halbig,Standardgruppe,3 FAVORITEN,Daten unvollständig
24 sieben Shop Dr. Kurt-Schuhmacher-Str. 13,Standardgruppe,13 FAVORITEN,Zuletzt bestellt vor 8 Tagen
24 sieben Shop Erlangen Hauptstraße 49,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
24 sieben Shop Innere Laufe Gasse 14/16,Standardgruppe,21 FAVORITEN,Zuletzt bestellt vor 8 Tagen
24 sieben Shop Josephplatz 24,Standardgruppe,22 FAVORITEN,Zuletzt bestellt vor einem Tag
24 sieben Shop Luitpoldstraße 10,Standardgruppe,19 FAVORITEN,Zuletzt bestellt vor 8 Tagen
24 sieben Shop Moststraße 1,Standardgruppe,17 FAVORITEN,Zuletzt bestellt vor einem Jahr
24 sieben Shop Wölckernstraße 82,Standardgruppe,19 FAVORITEN,Zuletzt bestellt vor 9 Tagen
24/7 Kiosk Cube am Hauptmarkt,Standardgruppe,113 FAVORITEN,Zuletzt bestellt vor 16 Tagen
24Seven Hotels GmbH,Mittwoch,27 FAVORITEN,Zuletzt bestellt vor 4 Monaten
2N Kurse GbR - Josphsplatz,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor 13 Tagen
392 Lackveredelung,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
480 Grad,Standardgruppe,42 FAVORITEN,Zuletzt bestellt vor 2 Jahren
480 Grad Würzburg,Standardgruppe,58 FAVORITEN,Zuletzt bestellt vor 2 Jahren
480Grad Erlangen,Standardgruppe,57 FAVORITEN,Zuletzt bestellt vor 2 Jahren
7aragakiosk,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
